the_geom,station_id,full_name,name,road_name,common_road_name,secondary_name,suburb,post_code,lga,rms_region,distance_to_intersection,intersection,road_number,link_number,mab_identifier,device_type,permanent_station,vehicle_classifier,road_on_type,road_classification_type,road_classification_admin,wgs84_latitude,wgs84_longitude
0101000020E61000004B1FBAA0BEE66240FD32182312ED40C0,01001,"Sydney Harbour Bridge, North of Hickson Road",Sydney Harbour Bridge,Bradfield Highway,Bradfield Highway,North of Hickson Road,Milsons Point,2061,Sydney,Sydney,260,Hickson Road,0000632,0020,NULL,Trafficorder Dual Tube Classifier,0,1,OnBridge,Highway,State,-33.852116,151.210770
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,"Sydney Harbour Tunnel, North of Cahill Expressway",Sydney Harbour Tunnel,Sydney Harbour Tunnel,"Sydney Harbour Tunnel.sydney Harbour Tunnel, Sydney",North of Cahill Expressway,Sydney,2000,Sydney,Sydney,100,Cahill Expressway,0006092,0010,M1,Trafficorder Loop Counter,1,0,InTunnel,,State,-33.860836,151.213791
0101000020E61000007730629F80E6624082397AFCDEEE40C0,01004,"Western Distributor, West of Sussex Street",Western Distributor,Western Distributor,"Western.western Distributor, Sydney",West of Sussex Street,Sydney,2000,Sydney,Sydney,20,Sussex Street,0000165,0018,NULL,Trafficorder Loop Counter,1,0,OnBridge,Distributor,State,-33.866180,151.203201
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,"Cahill Expressway, East of Pitt Street",Cahill Expressway,Cahill Expressway,"Cahill.cahill Expressway, Sydney",East of Pitt Street,Sydney,2000,Sydney,Sydney,60,Pitt Street,0000592,0180,NULL,Trafficorder Loop Counter,1,0,OnBridge,Expressway,State,-33.861290,151.209854
0101000020E61000000F7EE2007AE66240AE62F19BC2F040C0,01323,"Ultimo Road, East of Darling Drive",Ultimo Road,Ultimo Road,Ultimo Road,East of Darling Drive,Haymarket,2000,Sydney,Sydney,40,Darling Drive,-10,-10,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Local,-33.880939,151.202393
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,"City Road, East of Barff Road",City Road,City Road,City Road,East of Barff Road,Camperdown,2050,Sydney,Sydney,20,Barff Road,0000001,0020,A36,Trafficorder Loop Counter,1,0,OnGround,Road,State,-33.888699,151.191421
0101000020E6100000BE31040047E66240F2EA1C03B2F140C0,02037,"Cleveland Street, West of Beaumount Street",Cleveland Street,Cleveland Street,Cleveland Street,West of Beaumount Street,Darlington,2008,Sydney,Sydney,10,Beaumount Street,0000330,0140,NULL,Trafficorder Dual Tube Classifier,0,0,OnGround,Street,State,-33.888245,151.196167
0101000020E61000005C9198A086E66240C746205ED7F140C0,02038,"Cleveland Street, West of Pitt Street",Cleveland Street,Cleveland Street,"Cleveland.cleveland St, Redfern",West of Pitt Street,Surry Hills,2010,Sydney,Sydney,60,Pitt Street,0000330,0090,NULL,Trafficorder Loop Counter,1,0,OnGround,Street,State,-33.889385,151.203934
0101000020E61000005F97E13F5DE662403EEC8502B6F140C0,02056,"Abercrombie Street, North of Cleveland Street",Abercrombie Street,Abercrombie Street,Abercrombie Street,North of Cleveland Street,Chippendale,2008,Sydney,Sydney,30,Cleveland Street,0000594,0010,NULL,Trafficorder Dual Tube Classifier,0,0,OnGround,Street,State,-33.888367,151.198883
0101000020E6100000FBEAAA40ADE56240041E1840F8F240C0,02062,"Enmore Road, East of Bailey Street",Enmore Road,Enmore Road,"Enmore.enmore Rd, Newtown",East of Bailey Street,Newtown,2042,Marrickville,Sydney,60,Bailey Street,0000167,0010,A34,Trafficorder Loop Counter,1,0,OnGround,Road,State,-33.898201,151.177399
0101000020E6100000B9FE5D9F39E7624003CDE7DCEDF040C0,02083,"Glenmore Road, West of Flinton Street",Glenmore Road,Glenmore Road,Glenmore Road,West of Flinton Street,Paddington,2021,Woollahra,Sydney,40,Flinton Street,-10,-10,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Local,-33.882259,151.225784
