destination,origin,road
"-33.88631,151.13840","-33.88597,151.06974",Liverpool Road Eastbound
"-33.88648,151.07090","-33.88640,151.13855",Liverpool Road Westbound
"-33.90683,151.21364","-33.86894,151.21852",Eastren distributor southbound
"-33.865943538054026,151.21382467482263"," -33.911775164130795,151.21287548667053",Eastren distributor northbound
"-33.85878805992669,151.2065614315044","-33.87048670900163,151.1900683345233",Westren Distributor Eastbound
"-33.87068157759226,151.19023347795263","-33.86038116068912, 151.20602346798864",Westren Distributor Westbound
"-33.860393199850904, 151.20551272842647","-33.86147787838192, 151.21247969041204",Cahill Expressway Northbound
"-33.861542868548014,151.21330340814612","-33.83807054631328, 151.21103582502656",Cahill Expressway southbound
"-33.89086839878527, 151.18895370022605","-33.88437991923927,151.19488557434303",City road southbound
"-33.884384465178975, 151.19477690466795","-33.89082017097037, 151.18885002611702",City road nortbound
"-33.42729906219312, 151.31742995317018","-33.48330107742967,151.32432717791067",Brisbane Water Drive Northbound
"-33.48328653636038, 151.32443916013648","-33.42733708027646, 151.31765633908324",Brisbane Water Drive Southbound
"-33.81454381792595, 151.1686869289492","-33.8403747335885, 151.14613153639107",Burns Bay Road Northbound
"-33.84028312059106, 151.1462008388897","-33.81479964247625, 151.15443952848193",Burns Bay Road Southbound
"-33.957647610231795, 150.88707557043924","-34.05430701294549, 150.7069444484096",Camden Valley Way Northbound
"-34.05438645760845, 150.70698334044008","-33.95783596047826, 150.88701840149108",Camden Valley Way Southbound
"-33.72047,150.93761","-33.77157,150.91153",Sunnyholt Road Northbound
"-33.77164,150.91167","-33.72059,150.93769",Sunnyholt Road Southbound
"-33.90553455524696, 151.2028131877221","-33.93048920703627, 151.18649691322207",O'riordan Street northbound
"-33.93068357818059, 151.1868409231842","-33.90553455524696, 151.2028131877221",O'riordan Street southbound
"-37.893018053805285, 145.00160248116663","-37.89107861180906, 144.98568828438133",head street nortbound
"-37.89117016097033, 144.98573321138207","-37.893018053805285, 145.00160248116663",head street southbound
"-33.56206812205572,150.8387171649167","-32.567677953153776,151.1647612560909",putty road northbound
"-32.567677953153776,151.1647612560909","-33.56206812205572,150.8387171649167",putty road southbound
"-32.75286,151.58692","-32.74545,151.58060",Newcastle Street Eastbound
"-32.74552,151.58044","-32.75294,151.58684",Newcastle Street Westbound
