route,inter_point
route 1,Southern Cross Drive
route 1,Audi Centre Sydney
route 1,South Dowling Street
route 1,Todman Avenue
route 1,Todman Avenue
route 1,Kensington
route 1,Kensington
route 1,Todman Avenue
route 1,Todman Avenue
route 1,Todman Avenue
route 1,South Dowling Street
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Wentworth Avenue
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,Southern Cross Drive
route 1,General Holmes Drive
route 1,General Holmes Drive
route 1,General Holmes Drive
route 1,General Holmes Drive
route 1,Endeavour Bridge
route 1,General Holmes Drive
route 1,General Holmes Drive
route 1,General Holmes Drive
route 1,General Holmes Drive
route 1,The Grand Parade
route 1,The Grand Parade
route 1,President Avenue
route 1,Wycombe Avenue
route 1,President Avenue
route 1,President Avenue
route 1,St George TAFE
route 1,President Avenue
route 1,Princes Highway
route 1,Princes Highway
route 1,Rise & Shine Kindergarten Kogarah
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Currawang Street
route 1,340
route 1,Princes Highway
route 1,Torrens Street
route 1,Princes Highway
route 1,Kogarah Bay Sailing Club
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Port Hacking Road
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Shop 6
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Kirrawee Vet
route 1,South Village
route 1,Princes Highway
route 1,Donald Robinson Village
route 1,Acacia Road
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Sydney Tramway Museum
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Railway Parade
route 1,Railway Parade
route 1,BP
route 1,McDonald's
route 1,Dalley Road
route 1,Princes Highway
route 1,Woolworths Petrol
route 1,Caltex
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Highway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Motorway
route 1,Princes Highway
route 1,Appin Road
route 1,Appin Road
route 1,Appin Road
route 1,Appin Road
route 1,Appin Road
route 1,Appin Road
route 1,Appin Road
route 1,Appin Road
route 1,Appin Road
route 2,South Dowling Street
route 2,Todman Avenue
route 2,Todman Avenue
route 2,Todman Avenue
route 2,Kensington
route 2,Todman Avenue
route 2,Todman Avenue
route 2,Todman Avenue
route 2,South Dowling Street
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,Southern Cross Drive
route 2,General Holmes Drive
route 2,General Holmes Drive
route 2,General Holmes Drive
route 2,M5 Motorway
route 2,Kyeemagh Avenue
route 2,M5 Motorway
route 2,M5 Motorway
route 2,TP-42-C
route 2,M5 East Tunnel
route 2,Princes Highway
route 2,Macedonian Community Child Care Centre
route 2,Arncliffe Park Amenities
route 2,Bardwell Valley
route 2,Bardwell Valley Golf Course
route 2,M5 East Tunnel
route 2,M5 East Tunnel
route 2,M5 Motorway Onramp
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,Fairford Road
route 2,8
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,South Western Motorway
route 2,M5 Motorway
route 2,M5 Motorway
route 2,South Western Motorway
route 2,M5 Motorway
route 2,South Western Motorway
route 2,26
route 2,Moorebank Avenue Offramp
route 2,South Western Motorway
route 2,South Western Motorway
route 2,South Western Motorway
route 2,91
route 2,93
route 2,South Western Motorway
route 2,South Western Motorway
route 2,South Western Motorway
route 2,South Western Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Hume Motorway
route 2,111
route 2,Hume Motorway
route 2,Hume Motorway
route 2,Campbelltown Road Offramp
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,Campbelltown Road
route 2,20
route 2,62
route 2,32
route 2,Oxley Street
route 2,Oxley Street
route 2,Appin Road
route 2,Appin Road
route 2,Bradbury
route 2,Waratah House
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,Hutchinson Place
route 3,Maiden Lane
route 3,Oxford Street
route 3,Palmer Lane
route 3,ED-C
route 3,William Street
route 3,Eastern Distributor Onramp
route 3,Eastern Distributor Onramp
route 3,Eastern Distributor Onramp
route 3,Eastern Distributor Onramp
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,The Marlborough
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,Kensington
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Trevilyan Avenue
route 3,Southern Cross Drive
route 3,Gardeners Road
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Botany Road
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,General Holmes Drive
route 3,General Holmes Drive
route 3,General Holmes Drive
route 3,General Holmes Drive
route 3,M5 Motorway
route 3,11
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 East Tunnel
route 3,M5 East Tunnel
route 3,Scots
route 3,Broe Avenue
route 3,Station 5 (formerly CBMS)
route 3,M5 East Tunnel
route 3,Churchill Street
route 3,M5 East Tunnel
route 3,M5 East Tunnel
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,TP-46-C
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,4
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,12
route 3,M5 Motorway
route 3,M5 Motorway
route 3,16
route 3,18
route 3,M5 Motorway
