road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed
Eastren distributor northbound,"-33.91176,151.21283",07:00,61%,29.0,75.0
Eastren distributor northbound,"-33.90156,151.21484",07:00,25%,54.0,72.0
Eastren distributor northbound,"-33.89189,151.21683",07:00,25%,54.0,72.0
Eastren distributor northbound,"-33.88284,151.2172",07:00,0%,69.0,69.0
Eastren distributor northbound,"-33.87574,151.21744",07:00,0%,73.0,73.0
Eastren distributor northbound,"-33.87096,151.21811",07:00,0%,65.0,65.0
Eastren distributor northbound,"-33.86693,151.2159",07:00,0%,66.0,66.0
Westren Distributor Eastbound,"-33.8716,151.19324",07:00,0%,61.0,61.0
Westren Distributor Eastbound,"-33.87487,151.19688",07:00,0%,58.0,58.0
Westren Distributor Eastbound,"-33.87298,151.20221",07:00,0%,59.0,59.0
Westren Distributor Eastbound,"-33.8682,151.20282",07:00,0%,67.0,67.0
Westren Distributor Eastbound,"-33.8623,151.20497",07:00,0%,67.0,67.0
Westren Distributor Westbound,"-33.86038,151.20601",07:00,0%,66.0,66.0
Westren Distributor Westbound,"-33.86396,151.20436",07:00,0%,67.0,67.0
Westren Distributor Westbound,"-33.8704,151.20326",07:00,0%,62.0,62.0
Westren Distributor Westbound,"-33.87274,151.2033",07:00,0%,62.0,62.0
Westren Distributor Westbound,"-33.87435,151.20108",07:00,0%,61.0,61.0
Westren Distributor Westbound,"-33.87505,151.19639",07:00,0%,59.0,59.0
Westren Distributor Westbound,"-33.87162,151.19295",07:00,0%,62.0,62.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:00,0%,38.0,38.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:00,0%,38.0,38.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:00,0%,57.0,57.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:00,0%,60.0,60.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:00,0%,57.0,57.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:00,0%,57.0,57.0
Cahill Expressway southbound,"-33.84246,151.21116",07:00,0%,58.0,58.0
Cahill Expressway southbound,"-33.84923,151.2126",07:00,0%,59.0,59.0
Cahill Expressway southbound,"-33.85581,151.20858",07:00,0%,63.0,63.0
Cahill Expressway southbound,"-33.86078,151.20649",07:00,0%,63.0,63.0
Cahill Expressway southbound,"-33.86159,151.21311",07:00,0%,63.0,63.0
