road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86161,151.21329",07:00,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:00,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:00,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:00,0.0,60,60,1119.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:00,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:00,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:15,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:15,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:15,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:15,0.0,60,60,1119.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:15,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:15,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:30,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:30,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:30,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:30,0.0,60,60,1119.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:30,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:30,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:45,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:45,0.0,42,42,1119.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:45,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:45,0.0,60,60,1119.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:45,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:45,0.0,61,61,1119.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:00,41.860465116279066,25,43,1330.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:00,41.860465116279066,25,43,1330.0
