road,hour,traffic
Eastern distributor northbound,07:00,61%
Eastern distributor northbound,07:00,25%
Eastern distributor northbound,07:00,25%
Eastern distributor northbound,07:00,0%
Eastern distributor northbound,07:00,0%
Eastern distributor northbound,07:00,0%
Eastern distributor northbound,07:00,0%
Eastern distributor northbound,07:00,0.5%
Eastern distributor northbound,07:00,0.295774647887324%
Eastern distributor northbound,07:00,0.5277777777777778%
Eastern distributor northbound,07:00,0.5%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,45.070422535211264%
Eastern distributor northbound,07:00,45.070422535211264%
Eastern distributor northbound,07:00,45.070422535211264%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,50.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,68.83116883116884%
Eastern distributor northbound,07:00,29.5774647887324%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,29.5774647887324%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Eastern distributor northbound,07:00,0.0%
Westren Distributor Eastbound,07:00,0%
Westren Distributor Eastbound,07:00,0%
Westren Distributor Eastbound,07:00,0%
Westren Distributor Eastbound,07:00,0%
Westren Distributor Eastbound,07:00,0%
Westren Distributor Westbound,07:00,0%
Westren Distributor Westbound,07:00,0%
Westren Distributor Westbound,07:00,0%
Westren Distributor Westbound,07:00,0%
Westren Distributor Westbound,07:00,0%
Westren Distributor Westbound,07:00,0%
Westren Distributor Westbound,07:00,0%
Cahill Expressway Northbound,07:00,0%
Cahill Expressway Northbound,07:00,0%
Cahill Expressway Northbound,07:00,0%
Cahill Expressway Northbound,07:00,0%
Cahill Expressway Northbound,07:00,0%
